D492_1	D492_2	D492_3	D492M_1	D492M_2	D492M_3	D492_Her2_1	D492_Her2_2	D492_Her2_3	ANOVA Significant	-Log ANOVA p value	ANOVA q-value	Protein Names	Protein ID	Gene Name (GN)
#!{Type}E	E	E	E	E	E	E	E	E	C	N	N	T	T	T
#!{C:Group1}D492	D492	D492	D492M	D492M	D492M	D492_Her2	D492_Her2	D492_Her2						
1.59007632732391	0.973909914493561	1.19647133350372	-0.934623003005981	-0.695232570171356	-1.18959355354309	-0.282165497541428	-0.436560690402985	-0.22228217124939	+	4.10951866440986	0.00048	Annexin A2	P07355	ANXA2
-0.603245913982391	-1.04796457290649	-0.752468347549438	-0.589013516902924	-0.378683716058731	-0.55719268321991	1.23748862743378	1.2493109703064	1.44176912307739	+	5.14280201119242	0	Pyruvate kinase PKM	P14618	PKM
0.845974326133728	0.232693687081337	0.338186770677567	0.729836106300354	1.03914332389832	0.659514904022217	-1.5631355047226	-1.24291241168976	-1.03930127620697	+	3.79058473725904	0.000351791530944625	Neuroblast differentiation-associated protein AHNAK	Q09666	AHNAK
1.48647546768188	1.15913891792297	1.11641490459442	-0.24157951772213	-0.174207136034966	-0.445161372423172	-1.04746377468109	-1.14861798286438	-0.704999566078186	+	4.62478274287832	0.000805970149253731	Plectin	Q15149	PLEC
-0.561042785644531	-1.24708652496338	-1.45789241790771	1.09774088859558	1.20473420619965	1.03144228458405	0.0792066007852554	0.291941732168198	-0.439043968915939	+	3.10540245087596	0.000696673189823875	Elongation factor 1-alpha 1	P68104	EEF1A1
-0.982293546199799	-1.04317498207092	-1.04001212120056	-0.205001562833786	-0.255498588085175	-0.220336183905602	1.17434501647949	1.17921376228333	1.39275825023651	+	7.08454822150811	0	Vimentin	P08670	VIM
-0.580436706542969	0.195311278104782	0.827262282371521	-1.14826369285584	-1.16785144805908	-1.10870409011841	0.872476100921631	0.911449491977692	1.19875681400299	+	2.63387112246222	0.00131204644412192	Alpha-enolase	P06733	ENO1
-0.223993450403214	-0.38798913359642	-0.754272937774658	0.908170163631439	1.50591862201691	1.26633429527283	-1.12154185771942	-1.12789690494537	-0.0647288113832474	+	2.61203396589298	0.00132016925246827	Filamin-A	P21333	FLNA
1.23385810852051	0.963453650474548	1.04509997367859	-1.15129208564758	-0.639192461967468	-1.20673739910126	0.210143625736237	0.520342886447906	-0.975676357746124	+	2.19751439853358	0.0023162583518931	Fatty acid synthase	P49327	FASN
0.0800068899989128	-0.695787847042084	-1.20614421367645	0.0268281791359186	-0.858649253845215	-0.27530175447464	1.90980470180511	1.24246621131897	-0.223223030567169	+	1.03128052499335	0.0312066508313539	Heat shock cognate 71 kDa protein	P11142	HSPA8
0.795552849769592	0.28601598739624	1.16292917728424	-0.763641595840454	-1.66689419746399	-1.33041799068451	0.471624493598938	0.650719106197357	0.394112139940262	+	2.93756116237581	0.000884135472370767	Tubulin alpha-1C chain	Q9BQE3	TUBA1C
0.362417727708817	-0.223436504602432	-0.194792419672012	1.13779866695404	1.24497985839844	1.00697135925293	-1.26645612716675	-1.33463990688324	-0.732842803001404	+	3.71034112453308	0.000417177914110429	Myosin-9	P35579	MYH9
0.00734918704256415	0.225137233734131	0.415285646915436	-1.35648775100708	-1.10200715065002	-1.07862997055054	1.38835823535919	1.25291383266449	0.248080641031265	+	2.83655345449809	0.000949832775919733	Heat shock protein HSP 90-alpha	P07900	HSP90AA1
-0.779242038726807	-1.41362822055817	-1.66615295410156	0.720620155334473	0.593716025352478	0.524558365345001	0.866813898086548	0.742464601993561	0.410850137472153	+	3.49175034767216	0.000559585492227979	Elongation factor 2	P13639	EEF2
1.3413667678833	1.25715231895447	1.17144238948822	-1.08439135551453	-1.07259047031403	-0.823376178741455	-0.326253354549408	-0.354016721248627	-0.109333425760269	+	5.79273779533832	0	Filamin-B	O75369	FLNB
0.516895353794098	1.00079274177551	1.76748812198639	-1.15370213985443	0.0546639375388622	0.19906447827816	-0.654329001903534	-1.25752568244934	-0.473347872495651	+	1.66076258705921	0.00746446280991736	Peptidyl-prolyl cis-trans isomerase A	P62937	PPIA
0.424147635698318	0.4344242811203	0.616187453269959	-1.32713282108307	-1.43090546131134	-1.1832138299942	0.746597051620483	0.802971243858337	0.916924476623535	+	6.18625512792059	0	L-lactate dehydrogenase A chain	P00338	LDHA
-0.819895207881927	-0.735871195793152	-0.0804286673665047	-0.966812312602997	-0.537078738212585	-0.733744621276855	1.32520115375519	1.18969333171844	1.35893630981445	+	3.78952800963012	0.000350649350649351	Glyceraldehyde-3-phosphate dehydrogenase	P04406	GAPDH
-1.15305757522583	0.763165414333344	0.903358578681946	0.951733827590942	0.545002162456512	0.777431070804596	-1.18212604522705	-1.42665565013886	-0.178851753473282	+	1.04113283278847	0.0305029940119761	Histone H4	P62805	HIST1H4A
0.450796276330948	0.78427928686142	1.32557916641235	-1.1429089307785	-1.40031111240387	-1.23894286155701	0.357752442359924	0.678264737129211	0.185491040349007	+	3.49117973574974	0.000558139534883721	Tubulin beta-4B chain	P68371	TUBB4B
1.4689769744873	1.12311112880707	1.18715190887451	-1.03687405586243	-0.962611734867096	-0.954580545425415	-0.21033488214016	-0.195189654827118	-0.41964915394783	+	5.66686234232778	0	Annexin A1	P04083	ANXA1
1.38211810588837	1.32121610641479	1.29051053524017	-0.59287029504776	-0.576357126235962	-0.69235771894455	-0.718520820140839	-0.713079750537872	-0.700658977031708	+	8.42993933851108	0	14-3-3 protein sigma	P31947	SFN
1.12717592716217	0.948270916938782	0.616446614265442	-1.14781093597412	-1.34511888027191	-1.32914578914642	0.372020095586777	0.123148292303085	0.63501387834549	+	4.32487053805633	0.000580645161290323	Prelamin-A/C	P02545	LMNA
-0.336697310209274	-0.894800364971161	-0.450994551181793	1.22029995918274	1.43114495277405	1.26474368572235	-0.586064875125885	-0.674032986164093	-0.973598539829254	+	4.36270767934591	0.000610169491525424	Cofilin-1	P23528	CFL1
