D492_1	D492_2	D492_3	D492M_1	D492M_2	D492M_3	D492_HER2_1	D492_HER2_2	D492_HER2_3	Student's T-test Significant D492_D492_HER2	Student's T-test significant	Mean_D492	Mean_D492M	Mean_HER2	Log2_D492/D492M	Log2_D492/HER2	-Log Student's T-test p-value D492_D492_HER2	Student's T-test q-value D492_D492_HER2	Student's T-test Difference D492_D492_HER2	Student's T-test Test statistic D492_D492_HER2	Protein Name	Protein ID	Gene Name
#!{Description}											Sum of all values divided by the number of values.	Sum of all values divided by the number of values.	Sum of all values divided by the number of values.									
#!{Type}E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Group1}D492	D492	D492	D492M	D492M	D492M	D492_HER2	D492_HER2	D492_HER2														
32.2086524963379	32.1790809631348	32.3634071350098	32.1968307495117	32.1214866638184	32.2543716430664	32.3067436218262	32.2948265075684	32.4432716369629			32.2503801981608	32.1908963521322	32.3482805887858	0.0594863891601563	-0.097900390625	0.587493448455661	0.266177071509648	-0.097900390625	-1.3159909177426	Actin, cytoplasmic 2	P63261	ACTG1
32.1468276977539	31.990608215332	32.0470352172852	31.5067291259766	31.5674228668213	31.4420852661133	31.6721496582031	31.6330051422119	31.6873321533203	+	D492_D492_HER2	32.0614903767904	31.505412419637	31.6641623179118	0.556076049804688	0.397327423095703	2.91898249260201	0.0100215053763441	0.397328058878582	8.20000416854878	Annexin A2	P07355	ANXA2
31.6814804077148	31.5586471557617	31.6402645111084	31.6854114532471	31.7435054779053	31.6942005157471	32.1898994445801	32.1931648254395	32.2463226318359	+	D492_D492_HER2	31.626797358195	31.7077058156331	32.2097956339518	-0.0809097290039063	-0.583000183105469	3.87017584452178	0.00578723404255319	-0.582998275756832	-14.4087779172336	Pyruvate kinase PKM	P14618	PKM
31.3455142974854	31.2417831420898	31.2596263885498	31.325870513916	31.3781871795654	31.3139762878418	30.9380340576172	30.9921970367432	31.0266361236572	+	D492_D492_HER2	31.2823079427083	31.3393446604411	30.9856224060059	-0.0570354461669922	0.296686172485352	2.70875966593336	0.0115300859598854	0.296685536702473	7.21631350641243	Neuroblast differentiation-associated protein AHNAK	Q09666	AHNAK
31.2127456665039	31.0789012908936	31.0614318847656	30.5061626434326	30.5337104797363	30.4229202270508	30.1766452789307	30.1352844238281	30.3166751861572	+	D492_D492_HER2	31.1176929473877	30.4875977834066	30.209534962972	0.630094528198242	0.908157348632813	3.62488420032737	0.00613138686131387	0.908157984415691	12.4786262482285	Plectin	Q15149	PLEC
30.9154891967773	30.6530094146729	30.5723552703857	31.5501384735107	31.5910739898682	31.524772644043	31.1604480743408	31.2418403625488	30.9621658325195	+	D492_D492_HER2	30.713617960612	31.5553283691406	31.1214847564697	-0.841711044311523	-0.407867431640625	1.42921443770097	0.0483140495867769	-0.407866795857746	-3.07198830935197	Elongation factor 1-alpha 1	P68104	EEF1A1
30.8016242980957	30.7759609222412	30.7772941589355	31.1292762756348	31.1079902648926	31.1228122711182	31.7107124328613	31.7127647399902	31.8027801513672	+	D492_D492_HER2	30.7849597930908	31.1200262705485	31.7420857747396	-0.335065841674805	-0.957126617431641	5.15681051780405	0	-0.957125981648762	-30.4059897859324	Vimentin	P08670	VIM
30.7531833648682	30.9803276062012	31.1653671264648	30.5869197845459	30.581184387207	30.598503112793	31.1786060333252	31.1900177001953	31.2741432189941			30.9662926991781	30.5888690948486	31.2142556508382	0.377424240112305	-0.247962951660156	0.943485384489615	0.120989027066569	-0.247962951660156	-2.01691361494718	Alpha-enolase	P06733	ENO1
30.5605602264404	30.5316677093506	30.4671363830566	30.7600231170654	30.8653335571289	30.8231239318848	30.4024314880371	30.4013118743896	30.5886192321777			30.5197881062826	30.8161602020264	30.4641208648682	-0.296371459960938	0.0556678771972656	0.337642632911481	0.532121212121212	0.0556672414143868	0.817427527545733	Filamin-A	P21333	FLNA
30.5258007049561	30.4949550628662	30.5042686462402	30.2537212371826	30.3121376037598	30.2473964691162	30.4090232849121	30.444408416748	30.273754119873			30.5083414713542	30.2710851033529	30.3757286071777	0.237255096435547	0.132612228393555	1.18089947139215	0.0730821089023336	0.132612864176433	2.51177121785751	Fatty acid synthase	P49327	FASN
30.3895645141602	30.2725315093994	30.1955413818359	30.3815422058105	30.2479629516602	30.3359642028809	30.665599822998	30.5649280548096	30.3438205718994			30.2858791351318	30.3218231201172	30.524782816569	-0.0359439849853516	-0.238903045654297	1.01459072591335	0.104061491160646	-0.238903681437176	-2.16177892290124	Heat shock cognate 71 kDa protein	P11142	HSPA8
30.3616027832031	30.2725315093994	30.4258232116699	30.0890426635742	29.9311466217041	29.9899654388428	30.3049774169922	30.3362846374512	30.2914276123047			30.3533191680908	30.0033849080404	30.3108965555827	0.349933624267578	0.0424232482910156	0.384913058555147	0.464601665850074	0.0424226125081368	0.914529286996414	Tubulin alpha-1C chain	Q9BQE3	TUBA1C
30.34255027771	30.1612281799316	30.170093536377	30.5825309753418	30.6157035827637	30.5420398712158	29.8384132385254	29.817310333252	30.0035667419434	+	D492_D492_HER2	30.2246239980062	30.5800914764404	29.8864301045736	-0.355466842651367	0.338193893432617	1.81269072758548	0.0296406035665295	0.338193893432617	4.05654081819451	Myosin-9	P35579	MYH9
30.1287860870361	30.1728363037109	30.211296081543	29.852933883667	29.9044055938721	29.9091339111328	30.4081115722656	30.3807163238525	30.1774768829346			30.1709728240967	29.8888244628906	30.3221015930176	0.282148361206055	-0.151128768920898	0.922326630960573	0.125680286738351	-0.151128768920898	-1.97426445050519	Heat shock protein HSP 90-alpha	P07900	HSP90AA1
29.7704887390137	29.5725193023682	29.4937152862549	30.2385425567627	30.1989402770996	30.1773586273193	30.2841644287109	30.2453594207764	30.1418743133545	+	D492_D492_HER2	29.6122411092122	30.2049471537272	30.2237993876139	-0.592704772949219	-0.611557006835938	2.56414898925591	0.0124478371501272	-0.611558278401695	-6.60170726643373	Elongation factor 2	P13639	EEF2
29.677360534668	29.5977745056152	29.5167751312256	27.3849220275879	27.3960742950439	27.631591796875	28.1013927459717	28.0751552581787	28.3063907623291	+	D492_D492_HER2	29.5973033905029	27.4708627065023	28.1609795888265	2.12644004821777	1.43632316589355	4.1120475807644	0.0047536231884058	1.43632380167643	16.593540140049	Filamin-B	O75369	FLNB
29.6555709838867	29.7098426818848	29.7958316802979	29.468204498291	29.6037292480469	29.6199245452881	29.5242118835449	29.4565601348877	29.5445098876953	+	D492_D492_HER2	29.7204151153564	29.5639527638753	29.5084273020426	0.156461715698242	0.21198844909668	1.91536971135928	0.0251917404129793	0.211987813313801	4.35058436760285	Peptidyl-prolyl cis-trans isomerase A	P62937	PPIA
29.5852012634277	29.5937747955322	29.7454147338867	28.1241569519043	28.0375823974609	28.2442245483398	29.854211807251	29.9012432098389	29.9963111877441	+	D492_D492_HER2	29.6414635976156	28.135321299235	29.9172554016113	1.50614356994629	-0.275791168212891	1.83961541092775	0.0278994413407821	-0.275791803995769	-4.13226596640848	L-lactate dehydrogenase A chain	P00338	LDHA
29.5805549621582	29.6042938232422	29.7894725799561	29.5390472412109	29.660457611084	29.6048946380615	30.1865978240967	30.1483135223389	30.1961288452148	+	D492_D492_HER2	29.6581071217855	29.6014664967855	30.1770133972168	0.056640625	-0.518905639648438	2.80914020652634	0.0106539682539683	-0.518906275431316	-7.67200551292781	Glyceraldehyde-3-phosphate dehydrogenase	P04406	GAPDH
29.561107635498	30.2346649169922	30.2839431762695	30.3009471893311	30.15797996521	30.2396793365479	29.5508899688721	29.464937210083	29.90354347229			30.0265719095866	30.232868830363	29.6397902170817	-0.206296920776367	0.386781692504883	0.649967408010131	0.232200826934436	0.386781692504883	1.43772388608212	Histone H4	P62805	HIST1H4A
29.5477867126465	29.6258563995361	29.7525768280029	29.1746940612793	29.1144351959229	29.1522121429443	29.5260047912598	29.601037979126	29.4856777191162			29.6420733133952	29.1471138000488	29.5375734965007	0.494958877563477	0.104499816894531	0.694136426205784	0.211873015873016	0.104499816894531	1.52378066493772	Tubulin beta-4B chain	P68371	TUBB4B
29.5334320068359	29.3500118255615	29.3839740753174	28.2045249938965	28.2439079284668	28.2481670379639	28.6428565979004	28.6508884429932	28.531852722168	+	D492_D492_HER2	29.4224726359049	28.2321999867757	28.6085325876872	1.19027137756348	0.813940048217773	3.54946777949732	0.00805594405594406	0.813940048217773	11.9369130508795	Annexin A1	P04083	ANXA1
29.527982711792	29.5138053894043	29.5347499847412	29.5355834960938	29.4453163146973	29.5167007446289	29.6309146881104	29.6180515289307	29.439661026001			29.5255126953125	29.49920018514	29.5628757476807	0.0263118743896484	-0.0373630523681641	0.237013824173387	0.6908928255093	-0.0373630523681641	-0.602368481581651	Heat shock protein HSP 90-beta	P08238	HSP90AB1
29.4952983856201	29.4225196838379	29.3858261108398	27.135160446167	27.1548938751221	27.0162715911865	26.9850063323975	26.9915084838867	27.0063514709473	+	D492_D492_HER2	29.4345480600993	27.1021086374919	26.9942887624105	2.33243942260742	2.44025802612305	6.70949814893641	0	2.4402592976888	74.4357822906677	14-3-3 protein sigma	P31947	SFN
29.4461250305176	29.3983783721924	29.3098201751709	28.8389701843262	28.7863121032715	28.7905750274658	29.2445869445801	29.1781673431396	29.3147754669189			29.3847745259603	28.8052857716878	29.2458432515462	0.579488754272461	0.138931274414063	1.1639899656709	0.0752835314091681	0.138931274414063	2.47537269254101	Prelamin-A/C	P02545	LMNA
29.3107528686523	29.0745182037354	29.2623729705811	29.9698009490967	30.0590476989746	29.9886131286621	29.2052001953125	29.1679649353027	29.0411643981934			29.2158813476563	30.0058205922445	29.1381098429362	-0.789939880371094	0.0777721405029297	0.372308763482801	0.483741747572816	0.0777715047200509	0.888827102031365	Cofilin-1	P23528	CFL1
29.2467861175537	29.641185760498	29.6582469940186	29.2465133666992	28.5251846313477	29.3258819580078	29.2393836975098	29.2928333282471	29.3074550628662			29.5154062906901	29.0325266520182	29.2798906962077	0.482879638671875	0.235515594482422	0.800458238337852	0.163391874180865	0.235515594482422	1.73194408999521	Actin, alpha skeletal muscle	P68133	ACTA1
29.2297458648682	29.1550388336182	29.0967025756836	29.4066333770752	29.4246025085449	29.4336051940918	29.5411167144775	29.5243053436279	29.3081722259521	+	D492_D492_HER2	29.1604957580566	29.4216136932373	29.4578647613525	-0.261117935180664	-0.297369003295898	1.61451453291134	0.0371933962264151	-0.297369003295898	-3.52713343332084	Eukaryotic initiation factor 4A-I	P60842	EIF4A1
29.2053165435791	29.1330070495605	29.0922222137451	29.5721397399902	29.5453395843506	29.6928367614746	29.3164386749268	29.2814693450928	29.4301376342773	+	D492_D492_HER2	29.1435152689616	29.6034386952718	29.3426818847656	-0.459924697875977	-0.199167251586914	1.63233017260938	0.0358426698450536	-0.199166615804035	-3.57281992351105	Alpha-actinin-4	O43707	ACTN4
29.1809902191162	29.0821285247803	29.2057361602783	29.1549186706543	29.0809345245361	29.1484603881836	29.2962512969971	29.3174095153809	29.0733947753906			29.1562849680583	29.1281045277913	29.2290185292562	0.0281791687011719	-0.0727348327636719	0.347991401331979	0.518283803153368	-0.0727335611979143	-0.838858922440812	60 kDa heat shock protein, mitochondrial	P10809	HSPD1
29.125316619873	29.1256351470947	29.035852432251	28.8581008911133	28.7604026794434	28.7272186279297	28.7316589355469	28.6298904418945	28.8639316558838	+	D492_D492_HER2	29.0956013997396	28.7819073994954	28.7418270111084	0.313694000244141	0.353775024414063	2.05599652162411	0.0200660066006601	0.353774388631184	4.77770487373001	Profilin-1	P07737	PFN1
