D492_1	D492_2	D492_3	D492M_1	D492M_2	D492M_3	D492_HER2_1	D492_HER2_2	D492_HER2_3	Student's T-test Significant D492M_D492_HER2	Student's T-test significant	-Log Student's T-test p-value D492M_D492_HER2	Student's T-test q-value D492M_D492_HER2	Student's T-test Difference D492M_D492_HER2	Student's T-test Test statistic D492M_D492_HER2	Protein Name	Protein ID	Gene Name
#!{Type}E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	T	T	T
#!{C:Group1}D492	D492	D492	D492M	D492M	D492M	D492_HER2	D492_HER2	D492_HER2									
32.2086524963379	32.1790809631348	32.3634071350098	32.1968307495117	32.1214866638184	32.2543716430664	32.3067436218262	32.2948265075684	32.4432716369629			1.20810587246637	0.078679499518768	-0.157384236653641	-2.57075990008062	Actin, cytoplasmic 2	P63261	ACTG1
32.1468276977539	31.990608215332	32.0470352172852	31.5067291259766	31.5674228668213	31.4420852661133	31.6721496582031	31.6330051422119	31.6873321533203	+	D492M_D492_HER2	1.79403256838354	0.0343899371069182	-0.158749898274742	-4.00462310890561	Annexin A2	P07355	ANXA2
31.6814804077148	31.5586471557617	31.6402645111084	31.6854114532471	31.7435054779053	31.6942005157471	32.1898994445801	32.1931648254395	32.2463226318359	+	D492M_D492_HER2	4.39175371191116	0.00415384615384615	-0.502089818318684	-19.524818706475	Pyruvate kinase PKM	P14618	PKM
31.3455142974854	31.2417831420898	31.2596263885498	31.325870513916	31.3781871795654	31.3139762878418	30.9380340576172	30.9921970367432	31.0266361236572	+	D492M_D492_HER2	3.3948416224732	0.00456565656565657	0.353722254435223	10.8955016582174	Neuroblast differentiation-associated protein AHNAK	Q09666	AHNAK
31.2127456665039	31.0789012908936	31.0614318847656	30.5061626434326	30.5337104797363	30.4229202270508	30.1766452789307	30.1352844238281	30.3166751861572	+	D492M_D492_HER2	1.90880370652144	0.0302605633802817	0.27806282043457	4.33134699931504	Plectin	Q15149	PLEC
30.9154891967773	30.6530094146729	30.5723552703857	31.5501384735107	31.5910739898682	31.524772644043	31.1604480743408	31.2418403625488	30.9621658325195	+	D492M_D492_HER2	2.15233670518171	0.0195185995623632	0.433843612670898	5.08796083331229	Elongation factor 1-alpha 1	P68104	EEF1A1
30.8016242980957	30.7759609222412	30.7772941589355	31.1292762756348	31.1079902648926	31.1228122711182	31.7107124328613	31.7127647399902	31.8027801513672	+	D492M_D492_HER2	4.4388850587928	0.0045	-0.622059504191078	-20.0664237187428	Vimentin	P08670	VIM
30.7531833648682	30.9803276062012	31.1653671264648	30.5869197845459	30.581184387207	30.598503112793	31.1786060333252	31.1900177001953	31.2741432189941	+	D492M_D492_HER2	4.47316057934882	0	-0.625386555989582	-20.4695510271509	Alpha-enolase	P06733	ENO1
30.5605602264404	30.5316677093506	30.4671363830566	30.7600231170654	30.8653335571289	30.8231239318848	30.4024314880371	30.4013118743896	30.5886192321777	+	D492M_D492_HER2	2.14847632278482	0.0194335511982571	0.352039337158203	5.07523773650115	Filamin-A	P21333	FLNA
30.5258007049561	30.4949550628662	30.5042686462402	30.2537212371826	30.3121376037598	30.2473964691162	30.4090232849121	30.444408416748	30.273754119873			0.870617877586195	0.154161689730517	-0.104643503824871	-1.8708121670606	Fatty acid synthase	P49327	FASN
